frame,x,y,z,mass,particle,duration,event_label,is_ghost,true_particle_id,parent_ids,predicted_class,predicted_label,confidence,prob_Non_event,prob_Merge,prob_Split,prob_Post merge,prob_Post split,correct_prediction,parent_ids_str
1.0,41.52961448374281,73.60069353744257,43.106251670504456,192139.082472774,0.0,21.0,0,False,0.0,[],0,Non-event,0.9774424,0.9774424,0.0010533368,0.0014620466,0.018172672,0.0018695276,1,[]
1.0,58.68062415264795,10.058744054983398,1.7383602230596114,308620.0282716893,1.0,18.0,0,False,1.0,[],0,Non-event,0.9805909,0.9805909,0.0010697523,0.0013142827,0.0150985615,0.0019266012,1,[]
1.0,23.1977876761286,49.25220462001237,22.87568677325677,47008.88964707235,2.0,49.0,0,False,2.0,[],0,Non-event,0.9908448,0.9908448,0.0009379734,0.00051649526,0.004043716,0.003656881,1,[]
1.0,95.67200854502134,38.05585414320628,10.272706967417257,119175.72463479104,3.0,15.0,0,False,3.0,[],0,Non-event,0.9883653,0.9883653,0.0010506939,0.000768071,0.007266134,0.0025498504,1,[]
1.0,42.90648852814357,88.47688178719251,13.466907916042494,132721.60417154766,4.0,25.0,0,False,4.0,[],0,Non-event,0.98631555,0.98631555,0.0010679457,0.00093280117,0.009480429,0.00220332,1,[]
1.0,62.67178030380441,52.38084048490716,10.179303731699356,244549.27662921327,5.0,12.0,0,False,5.0,[],0,Non-event,0.98341906,0.98341906,0.0010925757,0.001129278,0.012346248,0.0020128023,1,[]
1.0,68.39535934044042,61.1392710763196,38.79973212910278,123925.46660572028,6.0,178.0,0,False,6.0,[],0,Non-event,0.9841106,0.9841106,0.0010803253,0.001095493,0.011676743,0.0020368106,1,[]
1.0,55.33681231315865,18.84549234976611,36.5362445087962,162369.27174972618,7.0,6.0,0,False,7.0,[],0,Non-event,0.98980534,0.98980534,0.0010125923,0.0006445508,0.005620529,0.0029169878,1,[]
1.0,25.96122620833909,24.24958999043439,12.946378122454332,118981.37789690544,8.0,11.0,0,False,8.0,[],0,Non-event,0.9892328,0.9892328,0.00103756,0.00069601915,0.006285389,0.002748229,1,[]
1.0,28.53398635188561,99.45190974556692,26.49533393899241,116915.8464213603,9.0,25.0,0,False,9.0,[],0,Non-event,0.99000263,0.99000263,0.0011052537,0.00064824894,0.0049581793,0.0032857154,1,[]
1.0,58.207705585841246,88.35426438824553,27.09238852047621,184104.79785932487,10.0,84.0,0,False,10.0,[],0,Non-event,0.9811539,0.9811539,0.0010794386,0.0012789259,0.014554803,0.0019329336,1,[]
1.0,58.81243610634294,55.59645173210676,17.54972950724379,185107.7787572877,11.0,28.0,0,False,11.0,[],0,Non-event,0.9570042,0.9570042,0.005270942,0.009084579,0.011041739,0.01759843,1,[]
1.0,40.16997184013788,16.25806834186399,18.4216416737053,187700.9491651468,12.0,7.0,0,False,12.0,[],0,Non-event,0.98553073,0.98553073,0.001077124,0.0009895007,0.010276308,0.0021263652,1,[]
1.0,67.66767671918387,48.3034397856029,27.685247062648934,155173.72281211943,13.0,12.0,0,False,13.0,[],0,Non-event,0.9850485,0.9850485,0.0010815031,0.0010374426,0.010745674,0.00208696,1,[]
1.0,88.19224252180338,28.04852798699624,6.524632808919124,75332.10088744892,14.0,14.0,0,False,14.0,[],0,Non-event,0.9906722,0.9906722,0.00096741924,0.0005457733,0.0042816917,0.0035330222,1,[]
1.0,66.55124740310903,30.7435415431508,27.623432477860643,284151.2181909513,15.0,6.0,0,False,15.0,[],0,Non-event,0.9829148,0.9829148,0.001147308,0.0012387563,0.012644658,0.0020545386,1,[]
1.0,98.9271634373837,48.6059590051335,11.03100079496902,310657.22577196767,16.0,41.0,0,False,16.0,[],0,Non-event,0.9828274,0.9828274,0.0010896552,0.0011814326,0.01291226,0.0019892284,1,[]
1.0,79.44845507132881,88.14932511946161,21.46445986870531,270482.6727020561,17.0,51.0,0,False,17.0,[],0,Non-event,0.98181653,0.98181653,0.0010780055,0.0012311055,0.013915349,0.0019588727,1,[]
